"[[1, 2, 4, 5, 3, 106], [1, 2]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"
"[[1, 2, 4, 5, 3, 106], [2, 4]]","(predict score- data score)^ 2, SE: ",4.0,detail: ,"['predict_score', '-5', 'expected_score', '-3']"
"[[1, 2, 4, 5, 3, 106], [4, 5]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '3', 'expected_score', '3']"
"[[1, 2, 4, 5, 3, 106], [5, 3]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '-5', 'expected_score', '-5']"
"[[1, 2, 4, 5, 3, 106], [3, 106]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '-5', 'expected_score', '-5']"

"[[104, 1, 3, 4, 5, 6], [104, 1]]","(predict score- data score)^ 2, SE: ",4.0,detail: ,"['predict_score', '-4', 'expected_score', '-2']"
"[[104, 1, 3, 4, 5, 6], [1, 3]]","(predict score- data score)^ 2, SE: ",36.0,detail: ,"['predict_score', '-5', 'expected_score', '1']"
"[[104, 1, 3, 4, 5, 6], [3, 4]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"
"[[104, 1, 3, 4, 5, 6], [4, 5]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"
"[[104, 1, 3, 4, 5, 6], [5, 6]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"

"[[1, 105, 101, 4, 5, 6], [1, 105]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '-5', 'expected_score', '-5']"
"[[1, 105, 101, 4, 5, 6], [105, 101]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '-5', 'expected_score', '-5']"
"[[1, 105, 101, 4, 5, 6], [101, 4]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '-5', 'expected_score', '-5']"
"[[1, 105, 101, 4, 5, 6], [4, 5]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"
"[[1, 105, 101, 4, 5, 6], [5, 6]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"

"[[1, 2, 106, 101, 4, 6], [1, 2]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"
"[[1, 2, 106, 101, 4, 6], [2, 106]]","(predict score- data score)^ 2, SE: ",64.0,detail: ,"['predict_score', '-5', 'expected_score', '3']"
"[[1, 2, 106, 101, 4, 6], [106, 101]]","(predict score- data score)^ 2, SE: ",1.0,detail: ,"['predict_score', '-4', 'expected_score', '-5']"
"[[1, 2, 106, 101, 4, 6], [101, 4]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '-5', 'expected_score', '-5']"
"[[1, 2, 106, 101, 4, 6], [4, 6]]","(predict score- data score)^ 2, SE: ",49.0,detail: ,"['predict_score', '-5', 'expected_score', '2']"

"[[1, 2, 102, 4, 5, 6], [1, 2]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"
"[[1, 2, 102, 4, 5, 6], [2, 102]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '-5', 'expected_score', '-5']"
"[[1, 2, 102, 4, 5, 6], [102, 4]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '-5', 'expected_score', '-5']"
"[[1, 2, 102, 4, 5, 6], [4, 5]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"
"[[1, 2, 102, 4, 5, 6], [5, 6]]","(predict score- data score)^ 2, SE: ",0.0,detail: ,"['Match  ', 'predict_score', '5', 'expected_score', '5']"

